Genus,Species,Subspecies,Family,Order,Common_Name,Our_Name,Name_In_Tree,Sampled,DNA_In_Tree,Extinct_Extant,Status_Species,DAISIE_Species_Status,Remove_Species
Hoplobatrachus,tigerinus,None,Dicroglossidae,Anura,Indus Valley Bullfrog,Hoplobatrachus_tigerinus,Hoplobatrachus_tigerinus,TRUE,TRUE,Extant,Non-endemic,NA,TRUE
Heterixalus,alboguttatus,None,Hyperoliidae,Anura,None,Heterixalus_alboguttatus,Heterixalus_alboguttatus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Heterixalus,andrakata,None,Hyperoliidae,Anura,None,Heterixalus_andrakata,Heterixalus_andrakata,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Heterixalus,betsileo,None,Hyperoliidae,Anura,None,Heterixalus_betsileo,Heterixalus_betsileo,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Heterixalus,boettgeri,None,Hyperoliidae,Anura,None,Heterixalus_boettgeri,Heterixalus_boettgeri,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Heterixalus,carbonei,None,Hyperoliidae,Anura,None,Heterixalus_carbonei,Heterixalus_carbonei,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Heterixalus,luteostriatus,None,Hyperoliidae,Anura,None,Heterixalus_luteostriatus,Heterixalus_luteostriatus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Heterixalus,madagascariensis,None,Hyperoliidae,Anura,None,Heterixalus_madagascariensis,Heterixalus_madagascariensis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Heterixalus,punctatus,None,Hyperoliidae,Anura,None,Heterixalus_punctatus,Heterixalus_punctatus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Heterixalus,rutenbergi,None,Hyperoliidae,Anura,None,Heterixalus_rutenbergi,Heterixalus_rutenbergi,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Heterixalus,tricolor,None,Hyperoliidae,Anura,None,Heterixalus_tricolor,Heterixalus_tricolor,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Heterixalus,variabilis,None,Hyperoliidae,Anura,None,Heterixalus_variabilis,Heterixalus_variabilis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,albilabris,None,Mantellidae,Anura,None,Boophis_albilabris,Boophis_albilabris,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,albipunctatus,None,Mantellidae,Anura,None,Boophis_albipunctatus,Boophis_albipunctatus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,andohahela,None,Mantellidae,Anura,None,Boophis_andohahela,Boophis_andohahela,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,andrangoloaka,None,Mantellidae,Anura,None,Boophis_andrangoloaka,Boophis_andrangoloaka,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,andreonei,None,Mantellidae,Anura,None,Boophis_andreonei,Boophis_andreonei,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,anjanaharibeensis,None,Mantellidae,Anura,None,Boophis_anjanaharibeensis,Boophis_anjanaharibeensis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,ankarafensis,None,Mantellidae,Anura,None,Boophis_ankarafensis,NA,FALSE,FALSE,Extant,Endemic,Endemic,FALSE
Boophis,ankaratra,None,Mantellidae,Anura,None,Boophis_ankaratra,Boophis_ankaratra,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,arcanus,None,Mantellidae,Anura,None,Boophis_arcanus,Boophis_arcanus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,asquithi,None,Mantellidae,Anura,None,Boophis_asquithi,NA,FALSE,FALSE,Extant,Endemic,Endemic,FALSE
